globalid,ingestion_time,icao_address,timestamp,latitude,longitude,altitude_baro,heading,speed,vertical_rate,squawk,on_ground,callsign,tail_number,collection_type,flight_number,aircraft_type_icao,aircraft_type_name,airline_iata,airline_name,departure_utc_offset,departure_airport_icao,departure_airport_iata,departure_scheduled_time,takeoff_time,arrival_utc_offset,arrival_airport_icao,arrival_airport_iata,arrival_scheduled_time,arrival_estimated_time
{089AA69C-AA9E-464A-9144-C600ABE94B70},2023-02-01T17:02:21.752Z,AD7E17,2/1/2023 5:02:17 PM,37.72584,-122.456599,6475,195.9102,130,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{BA7D83FE-92C8-449E-8E40-54EE911C1FF3},2023-02-01T17:02:21.972Z,A45F94,2/1/2023 5:02:17 PM,37.399796,-122.462846,10750,145.68217,340,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{3EE92A8F-8DB4-459C-96D6-1346BF66A121},2023-02-01T17:02:24.175Z,AD7E17,2/1/2023 5:02:21 PM,37.723618,-122.457236,6525,192.78505,130,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{A09D8223-AD11-4678-800E-08497FFBA86F},2023-02-01T17:02:24.351Z,A45F94,2/1/2023 5:02:21 PM,37.394901,-122.458748,10750,146.4612,340,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{F5DA9B62-10A7-4207-BC99-13A988FA6DDE},2023-02-01T17:02:27.092Z,AD7E17,2/1/2023 5:02:24 PM,37.721465,-122.457494,6600,185.41205,120,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{675EC758-153D-43B0-95E6-B8B190B29249},2023-02-01T17:02:28.819Z,AD7E17,2/1/2023 5:02:26 PM,37.720021,-122.457435,6625,178.12595,120,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{031CA901-3DD0-4A61-92D1-E278D0052BF2},2023-02-01T17:02:31.152Z,A8E72B,2/1/2023 5:02:28 PM,37.357938,-121.9293,87,148.38605,0,,4542,-1,N673DC,N673DC,terrestrial,,E50P,Embraer EMB 500 Phenom 100,,,-800,KMRY,MRY,,2023-02-01T16:41:42Z,-800,KSJC,SJC,,
{022888F0-8AB3-4B7E-8971-8036E002B6F4},2023-02-01T17:02:31.320Z,A45F94,2/1/2023 5:02:29 PM,37.384054,-122.450031,10750,147.43689,340,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{722B2D58-1086-4E61-83A6-0297ADB2D543},2023-02-01T17:02:33.563Z,A45F94,2/1/2023 5:02:30 PM,37.382629,-122.44888,10750,147.29872,348.2,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{CA45F684-DEF4-452B-95A1-AA83F6BF21B9},2023-02-01T17:02:33.473Z,AD7E17,2/1/2023 5:02:31 PM,37.717529,-122.457295,6675,177.85814,120,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
